Time,Current,AcX,AcY,AcZ,GyX,GyY,GyZ,Freq
19:05:32.229,0.04,-11328,4800,-11248,185,-3,-60,90.90
19:05:32.241,0.04,-11312,4796,-11224,171,18,-58,99.99
19:05:32.249,0.04,-11308,4728,-11216,254,27,-51,99.99
19:05:32.261,0.04,-11356,4800,-11156,174,21,-62,99.99
19:05:32.270,0.05,-11336,4848,-11192,170,23,-48,90.90
19:05:32.282,0.04,-11348,4764,-11224,215,5,-52,90.90
19:05:32.290,0.04,-11376,4784,-11288,194,43,-51,99.99
19:05:32.303,0.04,-11392,4780,-11252,215,-21,-40,99.99
19:05:32.318,0.04,-11336,4796,-11240,178,36,-64,90.90
19:05:32.353,0.06,-11296,4756,-11208,191,5,-59,99.99
19:05:32.353,0.04,-11324,4824,-11300,193,8,-53,99.99
19:05:32.354,0.04,-11332,4860,-11312,191,37,-79,90.90
19:05:32.355,0.05,-11304,4840,-11276,193,5,-79,90.90
19:05:32.371,0.04,-11376,4844,-11140,187,19,-71,99.99
19:05:32.376,0.04,-11300,4796,-11248,192,0,-88,99.99
19:05:32.385,0.04,-11372,4788,-11200,192,17,-39,99.99
19:05:32.397,0.05,-11372,4768,-11276,203,2,-82,90.90
19:05:32.405,0.05,-11444,4748,-11308,182,18,-88,99.99
19:05:32.417,0.05,-11332,4792,-11328,205,19,-37,90.90
19:05:32.426,0.03,-11332,4840,-11252,184,26,-68,99.99
19:05:32.438,0.05,-11328,4784,-11164,238,47,-101,90.90
19:05:32.450,0.06,-11332,4768,-11200,185,8,-29,99.99
19:05:32.458,0.04,-11340,4788,-11216,175,39,-86,99.99
19:05:32.470,0.05,-11380,4804,-11192,248,27,-71,90.90
19:05:32.479,0.06,-11336,4840,-11260,169,48,-78,90.90
19:05:32.491,0.04,-11292,4836,-11276,191,9,-38,99.99
19:05:32.499,0.03,-11340,4840,-11228,184,1,-62,99.99
19:05:32.511,0.04,-11344,4784,-11212,176,49,-49,99.99
19:05:32.520,0.04,-11380,4804,-11152,182,-10,-53,90.90
19:05:32.532,0.05,-11344,4780,-11296,201,5,-55,90.90
19:05:32.549,0.04,-11320,4736,-11172,196,-20,-86,99.99
19:05:32.564,0.05,-11408,4792,-11256,177,-6,-75,99.99
19:05:32.591,0.03,-11344,4860,-11200,184,42,-62,90.90
19:05:32.592,0.05,-11372,4828,-11184,212,52,-60,99.99
19:05:32.593,0.06,-11312,4752,-11252,187,-30,-75,99.99
19:05:32.594,0.04,-11288,4812,-11236,182,20,-74,90.90
19:05:32.606,0.05,-11376,4788,-11232,217,-17,-65,99.99
19:05:32.623,0.05,-11308,4812,-11240,196,-22,-34,90.90
19:05:32.627,0.03,-11332,4800,-11220,191,8,-64,99.99
19:05:32.635,0.03,-11320,4796,-11240,199,-1,-52,99.99
19:05:32.647,0.06,-11360,4844,-11236,211,10,-98,99.99
19:05:32.659,0.03,-11400,4828,-11228,217,3,-53,83.33
19:05:32.667,0.04,-11332,4848,-11248,164,22,-54,99.99
19:05:32.679,0.03,-11320,4804,-11308,169,29,-63,99.99
19:05:32.688,0.04,-11356,4768,-11272,187,5,-59,99.99
19:05:32.700,0.03,-11324,4792,-11160,187,36,-62,90.90
19:05:32.708,0.04,-11356,4752,-11192,202,23,-50,99.99
19:05:32.720,0.01,-11316,4764,-11112,159,30,-70,99.99
19:05:32.729,0.04,-11332,4792,-11072,167,17,-65,90.90
19:05:32.741,0.04,-11284,4760,-11280,213,8,-41,90.90
19:05:32.753,0.02,-11380,4776,-11384,178,50,-92,99.99
19:05:32.762,0.03,-11328,4832,-11252,191,-21,-50,99.99
19:05:32.773,0.02,-11316,4784,-11220,170,8,-70,99.99
19:05:32.784,0.03,-11300,4852,-11196,190,31,-75,90.90
19:05:32.794,0.02,-11368,4796,-11244,196,-49,-73,90.90
19:05:32.802,0.02,-11360,4816,-11232,170,42,-76,99.99
19:05:32.814,0.02,-11344,4784,-11268,195,9,-16,99.99
19:05:32.823,0.02,-11332,4824,-11268,191,-23,-95,90.90
19:05:32.835,0.03,-11252,4828,-11212,209,21,-40,99.99
19:05:32.843,0.03,-11320,4820,-11204,221,22,-60,99.99
19:05:32.856,0.03,-11356,4792,-11196,204,15,-67,90.90
19:05:32.867,0.02,-11320,4760,-11208,198,29,-92,90.90
19:05:32.876,0.01,-11416,4824,-11340,227,3,-43,99.99
19:05:32.889,0.04,-11300,4784,-11172,170,31,-92,99.99
19:05:32.896,0.02,-11312,4852,-11236,200,9,-55,99.99
19:05:32.909,0.03,-11292,4820,-11256,197,0,-48,90.90
19:05:32.917,0.02,-11360,4836,-11232,206,28,-83,90.90
19:05:32.929,0.03,-11392,4808,-11304,167,9,-62,99.99
19:05:32.937,0.03,-11412,4800,-11248,166,4,-59,99.99
